custom_region,Stata,R,Diff
Europe,17.25,12.54,4.710000000000001
Rest of Asia,9.98,12.66,-2.6799999999999997
Africa,3.2,1.44,1.7600000000000002
Latin America & Caribbean,2.39,4.11,-1.7200000000000002
North America,66.58,67.85,-1.269999999999996
Australia,0.51,1.14,-0.6299999999999999
Rest of Oceania,0.09,0.24,-0.15
